Voltage, Thermistor, Ultrasonic, IR
2235, 27, 57, 137
2240, 27, 80, 137
2238, 27, 58, 136
2235, 27, 56, 140
2238, 27, 57, 138
2239, 27, 57, 138
2238, 27, 58, 137
2238, 26, 57, 139
2239, 27, 59, 138
2236, 27, 58, 138
2235, 27, 60, 138
2235, 26, 58, 138
2238, 27, 58, 138
2237, 27, 59, 137
2235, 27, 58, 139
2235, 27, 57, 139
2239, 27, 57, 138
2239, 27, 59, 137
2239, 27, 61, 140
2235, 27, 63, 137
2238, 27, 58, 137
2238, 27, 58, 30
2236, 26, 56, 40
2236, 26, 57, 57
2237, 26, 57, 97
2236, 26, 59, 138
2234, 26, 57, 40
2237, 26, 63, 41
2235, 26, 68, 59
2237, 26, 62, 101
2235, 26, 63, 137
2236, 26, 56, 138
2236, 26, 56, 137
2239, 26, 56, 139
2235, 26, 56, 138
2237, 26, 56, 137
2239, 26, 57, 137
2238, 26, 56, 139
2237, 26, 112, 71
2237, 26, 140, 36
2236, 26, 142, 49
2233, 26, 142, 77
2238, 26, 144, 135
2238, 26, 143, 137
2238, 26, 146, 137
2234, 26, 142, 138
2237, 26, 144, 137
2237, 26, 144, 137
2236, 26, 145, 137
2235, 26, 144, 138
2238, 26, 143, 138
2239, 26, 145, 136
2238, 26, 144, 139
